,avg_salary,company,job title,location,company_type,company_sector,age,max_salary,title
134,55.0,Insitoo,Data Scientist Sénior (H/F),Lyon,Company - Private,Human Resources & Staffing,16,65,junior
135,55.0,Generali France,DATA SCIENTIST,Saint-Denis,Company - Public,Insurance,192,65,junior
136,55.0,Rubix,Data Analyst - Lyon,Lyon,Company - Private,-1,-1,65,junior
137,55.0,Cafeyn,Data Product Analyst,Paris,Company - Private,Media & Communication,16,65,junior
138,55.0,Artefact,Data Scientist,Paris,Company - Private,Management & Consulting,9,65,junior
139,55.0,Akkodis,Ingénieur Data Scientist Junior H/F,Paris,Subsidiary or Business Segment,Human Resources & Staffing,29,65,junior
140,55.0,Moët Hennessy Wines & Spirits,Business Data Analyst,Paris,Subsidiary or Business Segment,Manufacturing,258,65,junior
141,55.0,Nexton Consulting FR,Business Analyst Data H/F,Paris,Company - Private,Management & Consulting,12,65,junior
142,55.0,Air France-KLM,DATA ANALYST SUPPLY CHAIN H/F,Roissy-en-France,Company - Private,Transportation & Logistics,90,65,junior
143,55.0,NEO SOFT,Data Analyst H/F,Lyon,Company - Private,Information Technology,18,65,junior
144,55.0,E.Leclerc,Data Analyst - H/F,Ivry-sur-Seine,Company - Private,Retail & Wholesale,-1,65,junior
145,55.0,Pennylane,Data Analyst (remote),Paris,Company - Private,Information Technology,3,65,junior
146,55.0,Groupe Rocher,Data Scientist Projets,Issy-les-Moulineaux,Private Practice / Firm,Retail & Wholesale,64,65,junior
147,55.0,Upfluence,Data Scientist F/H - CDI - Lyon,Lyon,Company - Private,Media & Communication,10,65,junior
148,55.0,Insitoo,Data Analyst (H/F),Lyon,Company - Private,Human Resources & Staffing,16,65,junior
149,55.0,GRDF,Data Analyst (h/f),Douai,Unknown,"Energy, Mining & Utilities",16,65,junior
150,55.0,Numberly,Data Analyst Programmatic,Paris,Company - Public,Media & Communication,23,65,junior
151,55.0,Numberly,Marketing Data Analyst,Paris,Company - Public,Media & Communication,23,65,junior
152,55.0,SumUp,Product Data Analyst,Paris,Company - Private,Financial Services,11,65,junior
153,55.0,Clarins,CDD – CRM Data Analyst,Neuilly-sur-Seine,Company - Private,Manufacturing,69,65,junior
154,55.0,EssenceMediacom,Data Analyst,Paris,Company - Private,Media & Communication,37,65,junior
155,55.0,Rubix,Data Analyst - Lyon,Lyon,Company - Private,-1,-1,65,junior
156,55.0,Framatome,Ingénieur R&D en matériaux - Data Science/Expérimentation F/H,Montbard,Company - Private,-1,-1,65,junior
157,55.0,EY,Consultant(e) / Manager - Data Analytics & Automatisation - FAAS - Lille - H/F,Lille,Unknown,-1,-1,65,junior
158,55.0,APRIL,Data Scientist,Lyon,Company - Public,Insurance,25,65,junior
159,55.0,Generali France,DATA SCIENTIST,Saint-Denis,Company - Public,Insurance,192,65,junior
160,55.0,Shift Technology,Graduate Data Scientist,Paris,Company - Private,Information Technology,9,65,junior
161,55.0,Mirakl - French,Data Analyst,Paris,Company - Private,Information Technology,12,65,junior
162,55.0,CARSO-LSEHL,DATA ANALYST POWER BI,Vénissieux,Company - Private,Pharmaceutical & Biotechnology,-1,65,junior
163,55.0,Cafeyn,Data Product Analyst,Paris,Company - Private,Media & Communication,16,65,junior
164,55.0,Upfluence,Data Scientist F/H - CDI - Lyon,Lyon,Company - Private,Media & Communication,10,65,junior
165,55.0,Insitoo,Data Scientist Sénior (H/F),Lyon,Company - Private,Human Resources & Staffing,16,65,junior
166,55.0,EY,Consultant Data Analyst Débutant F/H - Septembre 2022,Paris,Unknown,-1,-1,65,junior
167,55.0,CGI FINANCE,Product Data Analyst Senior,Lille,Company - Private,Financial Services,72,65,Senior
168,55.0,Moët Hennessy Wines & Spirits,Business Data Analyst,Paris,Subsidiary or Business Segment,Manufacturing,258,65,junior
169,55.0,Nielsen,Sports Media Data Analyst,Bezons,Company - Public,Information Technology,100,65,junior
170,55.0,Akkodis,Ingénieur Data Scientist Junior H/F,Paris,Subsidiary or Business Segment,Human Resources & Staffing,29,65,junior
171,55.0,Thales,Ingénieur Data Analyst F/H,Lille,Company - Public,Aerospace & Defense,23,65,junior
172,55.0,Schneider Electric,Supply Chain Data Analytics Leader,Grenoble,Company - Public,"Energy, Mining & Utilities",187,65,junior
173,55.0,digiRocks,Data Analyst Junior,Paris,Company - Public,-1,-1,65,junior
174,55.0,Visuary,Data Scientist,Paris,Company - Private,-1,-1,65,junior
175,55.0,Breega,Environmental Data Scientist @Carbon Maps,Paris,Company - Private,Financial Services,10,65,junior
176,55.0,Pennylane,Data Analyst (remote),Paris,Company - Private,Information Technology,3,65,junior
177,55.0,MBR Partners,AI/ML Data Scientist (Telecoms),Paris,Company - Private,-1,-1,65,junior
178,55.0,Stellantis,Data Scientist H/F,Poissy,Company - Private,Manufacturing,2,65,junior
179,55.0,"INRAE - Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",Data Scientist (H/F),Jouy-en-Josas,-1,-1,-1,65,junior
180,50.0,Publicis Sapient,Data Scientist - Senior Manager (H/F),Paris,Company - Public,Management & Consulting,33,55,Senior
181,50.0,TotalEnergies,Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,Company - Public,"Energy, Mining & Utilities",99,55,junior
182,50.0,Damart,Data analyst junior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
183,50.0,Inetum,Data Analyst H/F,Lille,Company - Private,Information Technology,53,55,junior
184,50.0,MJV Technology & Innovation,Data Analyst,Lille,Company - Private,Information Technology,26,55,junior
185,50.0,Matmut,Data scientist F/H,Rouen,Company - Private,Insurance,62,55,junior
186,50.0,GROUPE LIMAGRAIN,Data Analyst (H/F),Saint-Beauzire,Company - Private,Agriculture,58,55,junior
187,50.0,Onera,CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,Company - Public,Aerospace & Defense,77,55,junior
188,50.0,Le Groupe La Poste,Data Analyst chargé d'études stratégiques,Paris,Company - Private,Financial Services,32,55,junior
189,50.0,Cognira,Junior Data Scientist,Lille,Company - Private,Information Technology,8,55,junior
190,50.0,CS GROUP,Chef de projet / Coordinateur Data Science - F/H,Toulouse,Company - Private,Information Technology,55,55,junior
191,50.0,FED Finance,DATA ANALYST,France,Company - Private,Human Resources & Staffing,13,55,junior
192,50.0,Damart,Data analyst senior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
193,50.0,Inetum,Data Analyst SAS / Hadoop H/F,Brest,Company - Private,Information Technology,53,55,junior
194,50.0,Numberly,Data Scientist,Paris,Company - Public,Media & Communication,23,55,junior
195,50.0,LIMAGRAIN EUROPE SAS,Analyste de données en sélection Maïs (H/F),Ennezat,Company - Private,Agriculture,58,55,junior
196,50.0,TotalEnergies,Data Scientist ML,Paris,Company - Public,"Energy, Mining & Utilities",99,55,junior
197,50.0,ALEIA,Data scientist,Paris,-1,-1,-1,55,junior
198,50.0,Française des Jeux,Data Analyst F/H,Boulogne-Billancourt,Company - Private,"Arts, Entertainment & Recreation",90,55,junior
199,50.0,MAIF,Data Scientist - Computer Vision - NIORT ou PARIS H/F,Paris,Company - Private,Insurance,89,55,junior
200,50.0,Inetum,Data Analyst Industrie 4.0 H/F,Toulouse,Company - Private,Information Technology,53,55,junior
201,50.0,TOYOTA MATERIAL HANDLING FRANCE,Data Analyst CRM,Bussy-Saint-Georges,Company - Private,"Construction, Repair & Maintenance Services",56,55,junior
202,50.0,innovation e-Santé Sud ieSS,Data Scientist H/F,Hyères,-1,-1,-1,55,junior
203,50.0,Insitoo,Data Analyst Junior (H/F),Lille,Company - Private,Human Resources & Staffing,16,55,junior
204,50.0,Licorne Society,Data Analyst - startups,Paris,Company - Private,-1,-1,55,junior
205,50.0,AUSY,Data Analyst,Wasquehal,Company - Private,Management & Consulting,34,55,junior
206,50.0,CGI FINANCE,Data Scientist H/F,France,Company - Private,Financial Services,72,55,junior
207,50.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,55,junior
208,50.0,INFORMATIS,Analyste DATA,Nogent-sur-Seine,Company - Private,-1,52,55,junior
209,50.0,Numberly,Data Analyst Programmatique,Paris,Company - Public,Media & Communication,23,55,junior
210,50.0,Publicis Sapient,Data Scientist - Senior Manager (H/F),Paris,Company - Public,Management & Consulting,33,55,Senior
211,50.0,TotalEnergies,Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,Company - Public,"Energy, Mining & Utilities",99,55,junior
212,50.0,Damart,Data analyst junior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
213,50.0,Inetum,Data Analyst H/F,Lille,Company - Private,Information Technology,53,55,junior
214,50.0,MJV Technology & Innovation,Data Analyst,Lille,Company - Private,Information Technology,26,55,junior
215,50.0,Onera,CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,Company - Public,Aerospace & Defense,77,55,junior
216,50.0,Matmut,Data scientist F/H,Rouen,Company - Private,Insurance,62,55,junior
217,50.0,Inetum,Data Analyst SAS / Hadoop H/F,Brest,Company - Private,Information Technology,53,55,junior
218,50.0,GROUPE LIMAGRAIN,Data Analyst (H/F),Saint-Beauzire,Company - Private,Agriculture,58,55,junior
219,50.0,Le Groupe La Poste,Data Analyst chargé d'études stratégiques,Paris,Company - Private,Financial Services,32,55,junior
220,50.0,LIMAGRAIN EUROPE SAS,Analyste de données en sélection Maïs (H/F),Ennezat,Company - Private,Agriculture,58,55,junior
221,50.0,CS GROUP,Chef de projet / Coordinateur Data Science - F/H,Toulouse,Company - Private,Information Technology,55,55,junior
222,50.0,Cognira,Junior Data Scientist,Lille,Company - Private,Information Technology,8,55,junior
223,50.0,Numberly,Data Scientist,Paris,Company - Public,Media & Communication,23,55,junior
224,50.0,Damart,Data analyst senior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
225,50.0,FED Finance,DATA ANALYST,France,Company - Private,Human Resources & Staffing,13,55,junior
226,50.0,Inetum,Data Analyst Industrie 4.0 H/F,Toulouse,Company - Private,Information Technology,53,55,junior
227,50.0,ALEIA,Data scientist,Paris,-1,-1,-1,55,junior
228,50.0,AUSY,Data Analyst,Wasquehal,Company - Private,Management & Consulting,34,55,junior
229,50.0,Insitoo,Data Analyst Junior (H/F),Lille,Company - Private,Human Resources & Staffing,16,55,junior
230,50.0,Le Groupe La Poste,Data Analyste,Saint-Denis,Company - Private,Financial Services,32,55,junior
231,50.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,55,junior
232,50.0,INFORMATIS,Analyste DATA,Nogent-sur-Seine,Company - Private,-1,52,55,junior
233,50.0,TOYOTA MATERIAL HANDLING FRANCE,Data Analyst CRM,Bussy-Saint-Georges,Company - Private,"Construction, Repair & Maintenance Services",56,55,junior
234,50.0,innovation e-Santé Sud ieSS,Data Scientist H/F,Hyères,-1,-1,-1,55,junior
235,50.0,Numberly,Data Analyst Programmatique,Paris,Company - Public,Media & Communication,23,55,junior
236,50.0,FED Finance,DATA ANALYST (études stratégiques) H/F,Paris,Company - Private,Human Resources & Staffing,13,55,junior
237,50.0,Sightengine,"Computer Vision ML, Data scientist",Télétravail,Company - Private,-1,-1,55,junior
238,50.0,Licorne Society,Data Analyst - startups,Paris,Company - Private,-1,-1,55,junior
239,50.0,HURRYMAN,Consultant Senior / Manager : Data Analyst (H/F),Paris,Company - Private,Human Resources & Staffing,8,55,Senior
240,50.0,Publicis Sapient,Data Scientist - Senior Manager (H/F),Paris,Company - Public,Management & Consulting,33,55,Senior
241,50.0,TotalEnergies,Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,Company - Public,"Energy, Mining & Utilities",99,55,junior
242,50.0,Damart,Data analyst junior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
243,50.0,Inetum,Data Analyst H/F,Lille,Company - Private,Information Technology,53,55,junior
244,50.0,Matmut,Data scientist F/H,Rouen,Company - Private,Insurance,62,55,junior
245,50.0,Onera,CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,Company - Public,Aerospace & Defense,77,55,junior
246,50.0,CS GROUP,Chef de projet / Coordinateur Data Science - F/H,Toulouse,Company - Private,Information Technology,55,55,junior
247,50.0,Inetum,Data Analyst SAS / Hadoop H/F,Brest,Company - Private,Information Technology,53,55,junior
248,50.0,LIMAGRAIN EUROPE SAS,Analyste de données en sélection Maïs (H/F),Ennezat,Company - Private,Agriculture,58,55,junior
249,50.0,GROUPE LIMAGRAIN,Data Analyst (H/F),Saint-Beauzire,Company - Private,Agriculture,58,55,junior
250,50.0,MJV Technology & Innovation,Data Analyst,Lille,Company - Private,Information Technology,26,55,junior
251,50.0,Damart,Data analyst senior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
252,50.0,Inetum,Data Analyst Industrie 4.0 H/F,Toulouse,Company - Private,Information Technology,53,55,junior
253,50.0,innovation e-Santé Sud ieSS,Data Scientist H/F,Hyères,-1,-1,-1,55,junior
254,50.0,INFORMATIS,Analyste DATA,Nogent-sur-Seine,Company - Private,-1,52,55,junior
255,50.0,Numberly,Data Scientist,Paris,Company - Public,Media & Communication,23,55,junior
256,50.0,TOYOTA MATERIAL HANDLING FRANCE,Data Analyst CRM,Bussy-Saint-Georges,Company - Private,"Construction, Repair & Maintenance Services",56,55,junior
257,50.0,Numberly,Data Analyst Programmatique,Paris,Company - Public,Media & Communication,23,55,junior
258,50.0,Cognira,Junior Data Scientist,Lille,Company - Private,Information Technology,8,55,junior
259,50.0,HURRYMAN,Consultant Senior / Manager : Data Analyst (H/F),Paris,Company - Private,Human Resources & Staffing,8,55,Senior
260,50.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,55,junior
261,50.0,ALEIA,Data scientist,Paris,-1,-1,-1,55,junior
262,50.0,FED Finance,DATA ANALYST (études stratégiques) H/F,Paris,Company - Private,Human Resources & Staffing,13,55,junior
263,50.0,CGI FINANCE,Data Scientist H/F,France,Company - Private,Financial Services,72,55,junior
264,50.0,Insitoo,Data Analyst Junior (H/F),Lille,Company - Private,Human Resources & Staffing,16,55,junior
265,50.0,AUSY,Data Analyst,Wasquehal,Company - Private,Management & Consulting,34,55,junior
266,50.0,Sightengine,"Computer Vision ML, Data scientist",Télétravail,Company - Private,-1,-1,55,junior
267,50.0,MAIF,Data Scientist - Computer Vision - NIORT ou PARIS H/F,Paris,Company - Private,Insurance,89,55,junior
268,50.0,Peroptyx,Analyste de données H/F,Paris,Company - Private,Information Technology,5,55,junior
269,50.0,Atmosphères,Data Analyst H/F,Bois-d'Arcy,Company - Private,Human Resources & Staffing,21,55,junior
